start_id,end_id,type,source_id
1,2,TARGETS,591
5,3,TARGETS,593
5,4,TARGETS,593
8,4,TARGETS,596
8,7,TARGETS,596
9,10,WORSENED_BY,597
11,10,TARGETS,597
9,12,WORSENED_BY,600
14,10,TARGETS,603
14,13,TARGETS,603
15,10,TARGETS,603
16,10,TARGETS,603
9,10,WORSENED_BY,606
17,10,ALLEVIATES,606
9,13,WORSENED_BY,609
17,9,ALLEVIATES,609
18,9,ALLEVIATES,610
14,13,TARGETS,611
14,19,TARGETS,611
14,10,TARGETS,615
14,22,TARGETS,615
23,10,ALLEVIATES,615
14,3,TARGETS,616
23,3,ALLEVIATES,616
14,26,TARGETS,617
14,6,TARGETS,617
23,25,ALLEVIATES,619
17,3,TARGETS,621
28,3,TARGETS,621
30,29,TARGETS,622
14,3,TARGETS,623
31,3,TARGETS,623
23,10,ALLEVIATES,632
23,25,ALLEVIATES,633
23,13,ALLEVIATES,635
9,25,WORSENED_BY,638
32,10,TRIGGERED_BY,639
9,23,TARGETS,641
23,10,TARGETS,645
9,10,WORSENED_BY,646
33,10,TARGETS,650
14,10,TARGETS,650
9,10,WORSENED_BY,651
11,10,TARGETS,651
34,36,TARGETS,652
34,13,TARGETS,652
34,37,TARGETS,652
38,34,TARGETS,652
39,10,TARGETS,652
33,34,TARGETS,652
34,40,TARGETS,653
34,41,TARGETS,653
28,10,ALLEVIATES,654
14,13,TARGETS,655
42,9,TRIGGERED_BY,656
43,9,TRIGGERED_BY,656
38,10,ALLEVIATES,656
9,44,TARGETS,657
28,9,ALLEVIATES,657
45,9,ALLEVIATES,657
44,10,TARGETS,658
45,10,ALLEVIATES,658
46,47,TRIGGERED_BY,659
46,34,WORSENED_BY,659
23,10,ALLEVIATES,662
14,10,TARGETS,669
14,3,TARGETS,675
14,50,TARGETS,681
52,50,TARGETS,681
53,50,TARGETS,681
9,21,WORSENED_BY,682
14,6,TARGETS,683
20,26,TRIGGERED_BY,684
20,27,TRIGGERED_BY,684
20,6,TRIGGERED_BY,685
6,19,WORSENED_BY,687
3,56,TRIGGERED_BY,689
9,10,WORSENED_BY,691
14,10,TARGETS,691
14,20,TARGETS,693
23,59,ALLEVIATES,693
14,59,TARGETS,694
23,10,ALLEVIATES,694
14,9,TARGETS,696
23,9,ALLEVIATES,698
14,3,TARGETS,700
9,10,WORSENED_BY,2
8,10,TARGETS,2
17,10,TARGETS,2
60,10,TARGETS,4
8,6,TARGETS,6
23,6,TARGETS,6
62,6,TARGETS,9
63,64,WORSENED_BY,12
65,64,TARGETS,12
66,64,TARGETS,12
63,21,WORSENED_BY,13
60,21,TARGETS,13
69,67,TARGETS,14
70,68,TARGETS,14
71,10,WORSENED_BY,15
71,72,WORSENED_BY,15
23,10,TARGETS,15
73,72,TARGETS,15
74,10,TARGETS,15
14,4,TARGETS,16
14,75,TARGETS,16
23,4,TARGETS,16
23,75,TARGETS,16
76,4,TARGETS,16
76,75,TARGETS,16
77,4,TARGETS,16
77,75,TARGETS,16
79,78,TARGETS,17
80,81,WORSENED_BY,18
79,81,TARGETS,18
66,81,TARGETS,18
20,3,TRIGGERED_BY,19
20,21,WORSENED_BY,19
82,3,TARGETS,19
82,21,TARGETS,19
63,68,WORSENED_BY,20
63,83,WORSENED_BY,20
79,68,TARGETS,20
79,83,TARGETS,20
52,6,TARGETS,24
52,85,TARGETS,24
86,59,TARGETS,26
23,87,TARGETS,28
88,87,TARGETS,28
89,10,TRIGGERED_BY,29
89,13,TRIGGERED_BY,29
38,10,ALLEVIATES,29
38,25,ALLEVIATES,29
38,87,TARGETS,29
33,90,TARGETS,30
91,90,TARGETS,30
92,90,TARGETS,30
76,90,TARGETS,30
92,25,TARGETS,30
76,25,TARGETS,30
17,94,TARGETS,32
77,94,TARGETS,32
5,94,TARGETS,32
9,94,WORSENED_BY,32
32,94,WORSENED_BY,32
23,9,ALLEVIATES,33
23,10,ALLEVIATES,33
77,3,TARGETS,34
95,3,TARGETS,34
17,10,ALLEVIATES,36
17,13,ALLEVIATES,36
97,3,TARGETS,36
97,10,TARGETS,36
97,13,TARGETS,36
32,3,TRIGGERED_BY,37
52,21,TARGETS,38
52,98,TARGETS,38
52,99,TARGETS,38
17,21,ALLEVIATES,38
17,98,ALLEVIATES,38
17,99,ALLEVIATES,38
8,4,TARGETS,39
8,75,TARGETS,39
8,34,TARGETS,39
100,4,TARGETS,40
100,48,TARGETS,40
100,27,TARGETS,40
100,10,TARGETS,40
3,4,TARGETS,41
3,10,TARGETS,41
20,4,TRIGGERED_BY,42
20,10,TRIGGERED_BY,42
10,22,TARGETS,43
101,22,ALLEVIATES,43
17,22,ALLEVIATES,43
9,10,TARGETS,45
17,10,ALLEVIATES,46
32,10,TRIGGERED_BY,47
20,3,TRIGGERED_BY,51
9,10,WORSENED_BY,52
14,10,TARGETS,52
23,10,TARGETS,52
23,3,TARGETS,55
14,3,TARGETS,55
20,10,TRIGGERED_BY,56
14,6,TARGETS,57
14,102,TARGETS,57
14,103,TARGETS,58
14,25,TARGETS,59
23,25,TARGETS,59
33,10,TARGETS,64
105,10,TARGETS,64
23,9,ALLEVIATES,65
65,19,ALLEVIATES,69
69,9,TARGETS,70
107,13,TARGETS,73
108,13,TARGETS,73
33,13,TARGETS,73
91,13,TARGETS,73
17,65,TARGETS,74
97,65,TARGETS,74
14,65,TARGETS,74
109,9,WORSENED_BY,75
17,9,TARGETS,75
28,9,TARGETS,75
45,9,TARGETS,75
111,110,TARGETS,76
111,48,TARGETS,76
9,112,WORSENED_BY,77
32,112,WORSENED_BY,77
113,112,WORSENED_BY,77
17,112,TARGETS,77
114,112,TARGETS,77
15,112,TARGETS,77
115,48,TARGETS,78
115,4,TARGETS,78
61,118,TARGETS,79
31,116,TARGETS,79
119,117,TARGETS,79
120,47,TARGETS,80
121,48,TARGETS,80
9,10,WORSENED_BY,81
65,10,TARGETS,81
23,10,TARGETS,81
20,122,WORSENED_BY,82
20,6,WORSENED_BY,82
32,122,TRIGGERED_BY,82
8,122,TARGETS,82
8,6,TARGETS,82
52,122,TARGETS,82
52,6,TARGETS,82
9,47,WORSENED_BY,83
9,21,WORSENED_BY,84
9,116,WORSENED_BY,84
9,123,WORSENED_BY,84
92,116,TARGETS,84
28,116,TARGETS,84
23,2,TARGETS,87
101,2,TARGETS,87
92,2,TARGETS,87
101,10,TARGETS,87
92,10,TARGETS,87
15,2,TARGETS,87
9,6,WORSENED_BY,90
124,10,WORSENED_BY,91
124,34,WORSENED_BY,91
28,10,ALLEVIATES,91
45,10,ALLEVIATES,91
17,10,ALLEVIATES,91
126,125,TRIGGERED_BY,92
127,125,TARGETS,92
128,125,TARGETS,92
130,129,TRIGGERED_BY,93
108,129,TARGETS,93
15,129,TARGETS,93
131,129,TARGETS,93
18,10,ALLEVIATES,95
133,29,ALLEVIATES,96
133,7,ALLEVIATES,96
9,56,WORSENED_BY,97
134,56,ALLEVIATES,97
135,56,ALLEVIATES,97
136,56,ALLEVIATES,97
65,137,ALLEVIATES,98
138,21,ALLEVIATES,99
140,139,TRIGGERED_BY,100
9,139,WORSENED_BY,100
141,139,WORSENED_BY,100
23,10,ALLEVIATES,103
92,10,ALLEVIATES,103
28,10,ALLEVIATES,103
18,10,ALLEVIATES,103
14,10,TARGETS,103
32,47,TRIGGERED_BY,104
3,10,WORSENED_BY,105
9,10,WORSENED_BY,105
23,9,ALLEVIATES,105
92,9,ALLEVIATES,105
28,9,ALLEVIATES,105
23,13,TARGETS,109
92,13,TARGETS,109
28,13,TARGETS,109
14,13,TARGETS,109
20,47,WORSENED_BY,110
11,47,ALLEVIATES,110
23,47,ALLEVIATES,110
143,47,ALLEVIATES,110
9,10,WORSENED_BY,112
76,10,ALLEVIATES,112
92,10,ALLEVIATES,112
38,10,ALLEVIATES,112
20,3,TARGETS,115
3,10,WORSENED_BY,115
10,144,TARGETS,117
47,10,TARGETS,118
145,10,ALLEVIATES,118
17,10,ALLEVIATES,119
93,146,WORSENED_BY,122
85,146,WORSENED_BY,122
21,146,WORSENED_BY,122
10,148,WORSENED_BY,124
10,149,WORSENED_BY,124
3,4,TARGETS,128
3,10,TARGETS,128
14,4,TARGETS,128
14,10,TARGETS,128
9,10,TRIGGERED_BY,130
9,48,TRIGGERED_BY,130
14,48,TARGETS,130
33,10,TARGETS,130
153,32,TRIGGERED_BY,131
14,32,TARGETS,131
9,97,TARGETS,133
20,3,TRIGGERED_BY,137
9,10,WORSENED_BY,139
154,10,TARGETS,139
23,10,TARGETS,139
14,3,TARGETS,141
23,13,TARGETS,142
9,156,WORSENED_BY,144
23,10,ALLEVIATES,145
23,9,ALLEVIATES,146
9,10,WORSENED_BY,148
97,84,TARGETS,152
158,84,TARGETS,152
119,3,TARGETS,154
31,3,TARGETS,154
158,6,TARGETS,155
158,4,TARGETS,155
158,48,TARGETS,155
158,47,TARGETS,155
65,29,TARGETS,156
65,6,TARGETS,156
65,156,TARGETS,156
23,29,TARGETS,156
23,6,TARGETS,156
23,156,TARGETS,156
160,56,TARGETS,158
13,56,TARGETS,158
23,7,TARGETS,159
161,84,TARGETS,160
162,84,TARGETS,160
161,10,TARGETS,160
162,10,TARGETS,160
158,10,TARGETS,160
9,10,WORSENED_BY,161
9,29,WORSENED_BY,161
14,10,TARGETS,161
14,29,TARGETS,161
23,10,ALLEVIATES,161
37,9,TRIGGERED_BY,163
14,3,TARGETS,164
3,10,WORSENED_BY,167
3,22,TRIGGERED_BY,169
3,13,WORSENED_BY,169
14,22,TARGETS,169
23,22,ALLEVIATES,169
63,54,WORSENED_BY,171
120,54,TARGETS,171
163,164,WORSENED_BY,172
165,163,TARGETS,172
166,163,TARGETS,172
143,164,TARGETS,172
65,54,TARGETS,172
168,167,TRIGGERED_BY,173
168,10,WORSENED_BY,173
169,167,TARGETS,173
169,10,TARGETS,173
170,6,WORSENED_BY,174
171,27,WORSENED_BY,174
79,6,TARGETS,174
79,27,TARGETS,174
65,6,TARGETS,174
65,27,TARGETS,174
172,10,WORSENED_BY,175
172,26,WORSENED_BY,175
66,172,TARGETS,175
173,172,TARGETS,175
65,10,TARGETS,175
65,26,TARGETS,175
174,78,WORSENED_BY,176
